class_name,description
org.argouml.uml.diagram.ArgoDiagram,argo diagram get namespace set namespace get nodes get edges get project set project set diagram settings get diagram settings get veto message get containing fig presentations for encloser changed get dependent element get fig iterator create diagram element get graph model count contained presentation for set model element namespace set item u i d get item u i d repair pre save post save post load get name add remove set name get owner add property change listener remove property change listener property change add vetoable change listener remove vetoable change listener get layer damage namespace key name key 
org.argouml.uml.diagram.DiagramSettings$1,1 redo undo this 0 val showem 
org.argouml.uml.diagram.DiagramSettings$2,2 redo undo this 0 val showem 
org.argouml.uml.diagram.DiagramSettings$3,3 redo undo this 0 val new width val old value 
org.argouml.ui.explorer.rules.GoTransitionToTarget,go transition to target get dependencies get rule name get children 
org.argouml.uml.ui.UMLEditableComboBox,u m l editable combo box do on edit focus gained focus lost action performed 
org.argouml.uml.ui.behavior.common_behavior.PropPanelUninterpretedAction,prop panel uninterpreted action 
org.argouml.notation.ui.InitNotationUI,init notation u i get project settings tabs get settings tabs get details tabs init 
org.argouml.uml.ui.foundation.core.UMLAssociationEndOrderingCheckBox,u m l association end ordering check box build model 
org.argouml.ui.explorer.ExplorerPopup,explorer popup access 1 access 0 init menu create diagrams init menu create module actions init menu create model elements add menu item for both ends of add create model element action menu localize recursive add build directional create menu item create diagrams log model element menuitems serial version u i d 
org.argouml.uml.ui.behavior.common_behavior.PropPanelReturnAction,prop panel return action 
org.argouml.uml.diagram.activity.ui.FigPool,fig pool is selectable is filled get fill color set fill color get use trap rect set standard bounds create stereotype fig add enclosed fig set filled clone initialize get minimum size 
org.argouml.util.ToolBarUtility$PopupActionsListener,popup actions listener property change block events key 
org.argouml.notation.providers.uml.ExtensionPointNotationUml,extension point notation uml parse extension point fig parse extension point get parsing help to string to string parse 
org.argouml.ui.explorer.PerspectiveConfigurator$MoveUpListener,move up listener action performed this 0 
org.argouml.uml.ui.SaveGIFAction2,save g i f action2 save graphics 
org.argouml.uml.diagram.ui.ActionAddAllClassesFromModel,action add all classes from model is enabled action performed object 
org.argouml.notation.providers.uml.StateBodyNotationUml$ModelElementInfoList$InfoItem,info item get generated get uml object is retained retain generator uml object retain it this 1 
org.argouml.gefext.ArgoModeCreateFigSpline,argo mode create fig spline create new item instructions 
org.argouml.uml.ui.ActionAddTopLevelPackage,action add top level package action performed 
org.argouml.ui.explorer.rules.GoEnumerationToLiterals,go enumeration to literals get dependencies get rule name get children 
org.argouml.uml.ui.ActionSaveProject,action save project internal set enabled set enabled action performed serial version u i d log 
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance$2,2 redo undo this 0 val ds 
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance$1,1 action performed this 0 
org.argouml.uml.ui.UMLModelElementCommentDocument,u m l model element comment document get property set property use body 
org.argouml.uml.ui.UMLExpressionModel2,u m l expression model2 access 0 get body target set target added target removed set body set language get expression set expression set expression new expression target changed get language set target get container property change container property name expression must refresh emptystring target 
org.argouml.uml.ui.behavior.common_behavior.ActionNewAction$Roles,roles entry exit do action effect member 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState$UMLOFSStateListModel,u m l o f s state list model build model list is valid element serial version u i d 
org.argouml.kernel.Owned,owned get owner 
org.argouml.uml.ui.behavior.state_machines.ActionNewEvent,action new event action performed get action create event role 
org.argouml.ui.cmd.NavigateTargetForwardAction,navigate target forward action is enabled action performed serial version u i d 
org.argouml.uml.ui.behavior.collaborations.ActionAddMessagePredecessor,action add message predecessor get selected get choices do it get dialog title get instance singleton 
org.argouml.uml.diagram.ui.ActionAddExistingNode,action add existing node is enabled action performed object 
org.argouml.ui.ProjectBrowser$WindowCloser,window closer window closing this 0 
org.argouml.uml.ui.foundation.core.UMLClassifierAssociationEndListModel,u m l classifier association end list model build model list is valid element 
org.argouml.ui.HeapMonitor,heap monitor update stats paint action performed orange threshold red threshold green orange red m free total max used 
org.argouml.uml.ui.behavior.state_machines.ActionNewSignalEvent,action new signal event get singleton create event singleton 
org.argouml.uml.diagram.SequenceDiagram,sequence diagram get collaboration 
org.argouml.ui.ArgoToolbarManager$2,2 component hidden component shown this 0 val toolbars val container 
org.argouml.ui.ArgoToolbarManager$1,1 mouse pressed mouse released this 0 
org.argouml.cognitive.critics.Wizard,wizard back get current panel remove panel set to do item get to do item get num steps get panel can go next do action do action make panel can go back undo action undo action can finish is started is finished get step next finish get progress panels step finished started item 
org.argouml.notation.providers.NotationUtilityProviders,notation utility providers add listeners for event add listeners for transition add listeners for action 
org.argouml.uml.ui.PropPanel,prop panel access 0 add field add action add action add action lookup icon target set target added build toolbar format element format collection get delete action create border panel target removed should be enabled set title label create label for add field after add field before get display namespace get model element format namespace is removable element fire target added collect target listeners collect target listener actions fire target removed fire target set get title label set button panel size get single row scroll get actions get target set target refresh component hidden component moved component resized component shown get profile add separator set orientation log target model element listener list button panel title label actions std font 
org.argouml.uml.ui.behavior.common_behavior.UMLInstanceLinkEndListModel,u m l instance link end list model build model list is valid element 
org.argouml.uml.ui.behavior.state_machines.UMLTransitionGuardListModel,u m l transition guard list model build popup has popup build model list is valid element 
org.argouml.uml.diagram.ui.ImageSelection,image selection get transfer data get transfer data flavors is data flavor supported supported flavors diagram image 
org.argouml.uml.util.namespace.StringNamespace,string namespace peek namespace element pop namespace element get common namespace get base namespace push namespace element push namespace element set default scope token hash code equals to string to string is empty iterator parse parse log ns token 
org.argouml.uml.ui.foundation.core.UMLAssociationEndChangeabilityRadioButtonPanel,u m l association end changeability radio button panel build model label texts and action commands 
org.argouml.swingext.LeftArrowIcon,left arrow icon get icon height get icon width paint icon 
org.argouml.uml.diagram.state.ui.UMLStateDiagram,u m l state diagram get state machine does accept get label name get uml actions create graph model set state machine get action state get action transition get trigger actions get action guard get effect actions get action call event get action change event get action signal event get action time event get action call action get action send action get action start pseudo state get action final pseudo state get action junction pseudo state get action fork pseudo state get action join pseudo state get action create action get action destroy action get action return action get action terminate action get action uninterpreted action get action action sequence is relocation allowed encloser changed get dependent element create diagram element get relocation candidates relocate get action deep history pseudo state get action shallow history pseudo state get action synch state get action stub state name diagram get namespace from machine get action composite state get action submachine state get action choice pseudo state setup initialize get owner property change drop serial version u i d log the state machine action stub state action state action synch state action submachine state action composite state action start pseudo state action final pseudo state action branch pseudo state action fork pseudo state action join pseudo state action shallow history pseudo state action deep history pseudo state action call event action change event action signal event action time event action guard action call action action create action action destroy action action return action action send action action terminate action action uninterpreted action action action sequence action transition action junction pseudo state 
org.argouml.notation.providers.uml.TransitionNotationUml,transition notation uml generate classifier ref find or build change event find or build signal event generate parameter list generate kind parse trigger parse guard parse effect generate parameter generate expression parse transition find or build time event find call event generate event generate guard get parsing help to string to string delete parse 
org.argouml.uml.ui.foundation.core.ElementResidenceContainerListModel,element residence container list model build model list is valid element 
org.argouml.uml.diagram.ui.TabDiagram$1,1 run this 0 val e 
org.argouml.uml.ui.MoveDownAction,move down action is enabled action performed model index 
org.argouml.uml.ui.ActionDeleteModelElements$1,1 target set target added target removed set target 
org.argouml.notation.providers.uml.OperationNotationUml,operation notation uml parse error parse operation parse operation fig token open brace set return parameter get parameter list get return parameters get tagged values get parsing help to string to string get properties parse reception keyword 
org.argouml.uml.diagram.static_structure.ui.SelectionInterface,selection interface get instructions get icons get new node get new edge type get new node type is reverse edge realiz inherit icons instructions 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelStereotype$ActionAddStereotypeBaseClass,action add stereotype base class get selected get choices do it get dialog title this 0 
org.argouml.ui.explorer.rules.GoDiagramToNode,go diagram to node get dependencies get rule name get children 
org.argouml.moduleloader.ModuleStatus,module status set disabled set unselect is enabled set enabled is selected set selected set selected enabled selected 
org.argouml.ui.targetmanager.TargetManager$Remover,remover access 1 access 0 handle notification access 2 remove property change remove all listeners add listener remove listener this 0 
org.argouml.util.TokenSep,token sep get next add char length reset get string set next next the string length pattern 
org.argouml.uml.diagram.activity.ui.FigPartition$SelectionPartition,selection partition set handle box hit handle drag handle update handle box paint cx cy cw ch this 0 
org.argouml.ui.MenuBarFactory,menu bar factory create application menu bar 
org.argouml.uml.ui.UMLDeprecatedCheckBox,u m l deprecated check box 
org.argouml.ui.explorer.ExplorerTree$ExplorerTreeSelectionListener,explorer tree selection listener value changed this 0 
org.argouml.uml.diagram.GraphChangeAdapter,graph change adapter node added node removed edge added edge removed graph changed create diagram remove diagram get instance remove element create element instance 
org.argouml.cognitive.ToDoList,to do list element list for offender add e recompute all offenders remove to do list listener is paused set paused remove e pause add offenders get posters add posters get goal list spawn validity checker force validity check force validity check recompute all posters fire to do items removed get to do item list get resolved items get decision list fire to do item added fire to do item removed explicitly resolve add resolved critic add to do list listener fire to do item changed fire to do items added notify observers notify observers notify observers get offenders to string get size add element resume run resolve remove all remove all elements remove element log sleep seconds items item set all offenders all posters resolved items validity checker designer listener list longest to do list num not valid is paused paused mutex 
org.argouml.uml.cognitive.critics.CrMultiComposite,cr multi composite get criticized design materials predicate2 get wizard class 
org.argouml.uml.diagram.state.ui.PropPanelUMLStateDiagram,prop panel u m l state diagram 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState$ActionRemoveOFSState,action remove o f s state action performed serial version u i d 
org.argouml.cognitive.ResolvedCritic,resolved critic import offenders get critic string get offender list get critic hash code equals to string log critic offenders 
org.argouml.uml.reveng.ImporterManager,importer manager remove importer get importers add importer has importers get instance log instance importers 
org.argouml.uml.ui.foundation.core.PropPanelMethod$ActionSetMethodSpecification,action set method specification action performed 
org.argouml.uml.ui.behavior.collaborations.UMLClassifierRoleAvailableContentsListModel,u m l classifier role available contents list model build model list is valid element set target property change 
org.argouml.uml.ui.UMLExpressionModel2$1,1 run this 0 
org.argouml.application.api.InitSubsystem,init subsystem get project settings tabs get settings tabs get details tabs init 
org.argouml.uml.ui.model_management.PropPanelSubsystem$ActionNewOperation,action new operation action performed action key serial version u i d 
org.argouml.uml.diagram.state.ui.FigInitialState,fig initial state is filled get fill color set fill color set line width init figs get gravity points create big port fig set standard bounds set filled set line color make selection clone is resizable mouse clicked get line width get line color x y state width height head serial version u i d 
org.argouml.uml.ui.UMLAddDialog,u m l add dialog access 0 get selected get choices show dialog construct list model remove selection get selected choices add selection ok update action performed cancel choices list selected list add button remove button ok button cancel button dialog title multi select allowed return value exclusive 
org.argouml.uml.diagram.static_structure.ui.FigLink,fig link update name text update listeners initialize get source get destination can edit middle group 
org.argouml.uml.ui.foundation.core.UMLGeneralizationPowertypeComboBoxModel,u m l generalization powertype combo box model is lazy get selected model element build minimal model list build model list is valid element 
org.argouml.uml.ui.ActionAddPackage,action add package action performed 
org.argouml.uml.ui.behavior.use_cases.UMLIncludeListModel,u m l include list model build model list is valid element 
org.argouml.uml.ui.behavior.common_behavior.UMLActionSequenceActionList,u m l action sequence action list get popup menu 
org.argouml.uml.ui.model_management.PropPanelModel,prop panel model place elements 
org.argouml.profile.internal.ocl.CrOCL,cr o c l get o c l get criticized design materials predicate2 interpreter ocl design materials 
org.argouml.uml.diagram.deployment.ui.CubePortFigRect,cube port fig rect get closest point d serial version u i d 
org.argouml.application.api.GUISettingsTabInterface,g u i settings tab interface handle settings tab refresh handle settings tab save handle settings tab cancel handle reset to default get tab key get tab panel 
org.argouml.cognitive.CompoundCritic,compound critic set critics critique add critic remove critic add extra criticized design material get critic list get criticized design materials to do item add supported decision get supported goals add supported goal add knowledge type get supported decisions contains knowledge type supports supports get clarifier to string expand is active is enabled critics extra design materials 
