class_name,description
org.argouml.uml.ui.UMLRecurrenceExpressionModel,u m l recurrence expression model get expression set expression new expression log 
org.argouml.uml.diagram.activity.ui.FigObjectFlowState,fig object flow state get notation provider type init notation providers is filled get fill color set fill color set line width init figs text edited set enclosing fig set standard bounds update state text get notation settings rendering changed set filled set line color notation rendering changed make selection text edit started update listeners clone get owner get minimum size get line width get line color model changed padding ofs width height state height notation provider state cover state 
org.argouml.uml.diagram.ui.FigCompartment$FigSeparator,fig separator set line width set filled 
org.argouml.profile.internal.ocl.uml14.Uml14ModelInterpreter,uml14 model interpreter col to string to string 
org.argouml.ui.explorer.rules.GoProfileToCritics$1,1 to string this 0 
org.argouml.ui.HelpListener,help listener help changed help removed my status bar 
org.argouml.profile.DefaultTypeStrategy,default type strategy get default attribute type get default parameter type get default return type 
org.argouml.uml.diagram.state.ui.FigBranchState,fig branch state is filled get fill color set fill color set line width init figs create big port fig set standard bounds set filled set line color get closest point clone is resizable mouse clicked get line width get line color bwidth bheight head serial version u i d 
org.argouml.cognitive.ToDoListEvent,to do list event get to do item list items 
org.argouml.uml.ui.behavior.use_cases.UMLIncludeBaseListModel,u m l include base list model build model list 
org.argouml.uml.ui.UMLMutableLinkedList,u m l mutable linked list access 1 access 0 get delete action set delete action is add is delete access 2 set add action set new action set delete get add action get new action init actions mouse clicked mouse entered mouse exited mouse pressed mouse released get popup menu set popup menu is new log delete possible add possible new possible popup menu add action new action delete action 
org.argouml.uml.diagram.ui.FigUsage,fig usage 
org.argouml.uml.ui.LabelledLayout,labelled layout get minimum height get section count get section width layout section get usable width get child height calculate height get maximum width get separator is resizable add layout component layout container minimum layout size preferred layout size remove layout component get hgap get vgap set hgap set vgap get preferred width get preferred height serial version u i d hgap vgap ignore splitters 
org.argouml.uml.ui.foundation.core.PropPanelAbstraction,prop panel abstraction serial version u i d 
org.argouml.kernel.DefaultUndoManager$Interaction,interaction access 1 access 0 get commands is undoable is redoable add command access 2 get undo label get redo label execute undo commands label this 0 
org.argouml.profile.internal.DependencyResolver,dependency resolver items2 msg internal resolve resolve resolve log checker unresolved items 
org.argouml.profile.ProfileFacade,profile facade apply configuration is initiated not initialized remove all profiles register remove reset get manager set manager log manager 
org.argouml.ui.explorer.PerspectiveConfigurator$LibraryListSelectionListener,library list selection listener value changed this 0 
org.argouml.uml.ui.foundation.core.ActionNewModelElementConstraint,action new model element constraint get instance action performed singleton 
org.argouml.gefext.DeferredBufferedImage,deferred buffered image is raster valid compute raster offset window get property get height get width get color model get data get data get min x get min y get sample model get tile get tile grid x offset get tile grid y offset get tile height get tile width copy data get min tile x get min tile y get num x tiles get num y tiles get property names get sources log transparent bg color background color buffer height x y width height scale image editor scaled buffer height y1 y2 
org.argouml.ui.TabFigTarget,tab fig target 
org.argouml.util.LineSeparator,line separator token length add char has free part end char get peek count reset has cr has lf has peeked 
org.argouml.uml.ui.MoveUpAction,move up action is enabled action performed model index 
org.argouml.uml.ui.UMLComboBoxModel2,u m l combo box model2 access 0 target set target added target removed is valid event is clearable set elements is lazy add other model event listeners get selected model element build minimal model list build model list is valid element get changed element internal2external external2internal build model list timed get property set name is fire list events set fire list events set model invalid remove other model event listeners get name contains add all add element get size get target set target remove all remove all elements remove element property change get element at get index of popup menu canceled popup menu will become invisible popup menu will become visible get selected item set selected item fire contents changed fire interval added fire interval removed model changed log cleared combo box target objects selected object is clearable property set name fire list events building model processing will become visible model valid  assertions disabled 
org.argouml.application.PostLoad,post load run log post load actions 
org.argouml.uml.ui.ActionSequenceDiagram,action sequence diagram create diagram 
org.argouml.uml.ui.behavior.state_machines.ActionNewStubState,action new stub state get instance action performed singleton 
org.argouml.uml.diagram.collaboration.ui.CollaborationDiagramPropPanelFactory,collaboration diagram prop panel factory create prop panel create prop panel 
org.argouml.notation.providers.java.AttributeNotationJava,attribute notation java get parsing help to string to string parse 
org.argouml.uml.ui.model_management.PropPanelSubsystem,prop panel subsystem get feature scroll feature scroll feature list model serial version u i d 
org.argouml.ui.explorer.rules.GoCollaborationToInteraction,go collaboration to interaction get dependencies get rule name get children 
org.argouml.uml.ui.model_management.PropPanelPackage,prop panel package get generalization scroll get specialization scroll get modifiers panel place elements serial version u i d modifiers panel generalization scroll specialization scroll generalization list model specialization list model 
org.argouml.ui.cmd.LastRecentlyUsedMenuList,last recently used menu list add event handler add entry max count default file menu lru count max count menu index menu items conf keys 
org.argouml.notation.providers.uml.SDMessageNotationUml,s d message notation uml to string 
org.argouml.notation.ui.NotationComboBox,notation combo box notation changed notation added notation provider added notation provider removed notation removed get instance refresh log singleton serial version u i d 
org.argouml.cognitive.ToDoItem,to do item check argument check offs get wizard deselect get more info u r l contains knowledge type still valid get offenders supports supports get clarifier get headline can fix it fix it get poster hash code equals to string get priority action changed get description select get progress interruptive priority high priority med priority low priority the poster the headline the priority the description the more info u r l the offenders the wizard cached expanded headline cached expanded description serial version u i d  assertions disabled 
org.argouml.uml.ui.behavior.common_behavior.ActionNewSignal,action new signal action performed 
org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer,collab diagram renderer get fig node for get fig edge for log  assertions disabled 
org.argouml.uml.ui.TabSrc,tab src should be enabled generate source gen text parse text add predicate finalize set target refresh item state changed serial version u i d log lang name file name files cb lang cb files predicates 
org.argouml.uml.ui.behavior.state_machines.ActionSetSubmachineStateSubmachine,action set submachine state submachine get instance action performed singleton 
org.argouml.profile.internal.ocl.ModelInterpreter,model interpreter invoke feature get built in symbol 
org.argouml.uml.diagram.ui.AddToDiagramMemento,add to diagram memento to string dispose redo undo nodes placed editor mgm 
org.argouml.uml.PredicateSearch,predicate search match diagram match diagram match package evaluate element name package name diagram name the type specific 
org.argouml.gefext.ArgoModeCreateFigInk,argo mode create fig ink create new item instructions 
org.argouml.ui.PredicateMType,predicate m type to string create create create create serial version u i d 
org.argouml.ui.SettingsTabEnvironment,settings tab environment handle settings tab refresh handle settings tab save handle settings tab cancel handle reset to default build panel get tab key get tab panel top panel field argo ext dir field java home field user home field user dir field startup dir field graphics format field graphics resolution the resolutions serial version u i d 
org.argouml.uml.cognitive.critics.CrReservedName,cr reserved name get criticized design materials predicate2 get wizard class get clarifier init wizard is builtin names uml reserved serial version u i d 
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel,u m l tag definition combo box model is lazy add other model event listeners get selected model element build model list is valid element remove other model event listeners get applicable tag definitions add all unique model elements from set selected item model changed log serial version u i d 
org.argouml.uml.diagram.ui.StylePanelFigAssociationClass,style panel fig association class has editable bounding box set target b box refresh refresh item state changed attr check box oper check box refresh transaction 
org.argouml.uml.ui.MoveToBottomAction,move to bottom action is enabled action performed model index 
org.argouml.pattern.cognitive.critics.CrConsiderFacade,cr consider facade predicate2 serial version u i d 
org.argouml.uml.ui.foundation.core.PropPanelMethod,prop panel method get specification combo box specification combo box specification combo box model 
org.argouml.profile.internal.ocl.OclInterpreter,ocl interpreter get criticized design materials applicable get triggers check tree model interpreter 
org.argouml.ui.explorer.rules.GoStateToDownstream,go state to downstream get dependencies get rule name get children 
org.argouml.uml.diagram.state.ui.ActionCreatePseudostate,action create pseudostate make node 
org.argouml.cognitive.critics.SnoozeOrder,snooze order get now get snoozed set snoozed snooze unsnooze next interval log initial interval ms snooze until snooze again interval now serial version u i d 
org.argouml.cognitive.Poster,poster snooze unsnooze get supported goals get supported decisions contains knowledge type still valid supports supports get clarifier can fix it fix it expand 
org.argouml.uml.reveng.SettingsTypes$Setting2,setting2 get description 
org.argouml.cognitive.CurDecisionCM,cur decision c m is relevant 
org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTargetScopeCheckBox,u m l structural feature target scope check box build model 
org.argouml.uml.ui.behavior.collaborations.UMLCollaborationInteractionListModel,u m l collaboration interaction list model build model list is valid element 
org.argouml.uml.reveng.MethodImportInterface,method import interface begin method imports end method imports 
org.argouml.uml.diagram.deployment.ui.FigComponentInstance,fig component instance get notation provider type set enclosing fig make selection update listeners clone mouse clicked mouse pressed 
org.argouml.uml.diagram.Relocatable,relocatable is relocation allowed get relocation candidates relocate 
org.argouml.uml.diagram.static_structure.ui.InitClassDiagram,init class diagram get project settings tabs get settings tabs get details tabs init 
org.argouml.ui.cmd.ActionPageSetup,action page setup action performed 
org.argouml.uml.ui.foundation.core.PropPanelAttribute,prop panel attribute serial version u i d 
org.argouml.swingext.GlassPane$1,1 mouse clicked this 0 
org.argouml.ui.cmd.ActionAdjustGrid,action adjust grid create adjust grid actions build grid action init action performed set group my map default id my group default mask 
org.argouml.swingext.GlassPane$2,2 this 0 
org.argouml.persistence.AbstractFilePersister$ProgressMgr,progress mgr progress next phase set percent phases complete set number of phases get number of phases set phases completed fire progress event percent phases complete phases completed number of phases this 0 
org.argouml.ui.TreeModelComposite,tree model composite get child get root is leaf get child count get index of child value for path changed set root log root 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState$UMLObjectFlowStateParameterListModel,u m l object flow state parameter list model build model list is valid element 
org.argouml.profile.UserDefinedProfile$NullProfileManager,null profile manager get registered profiles remove from default profiles add search path directory remove search path directory get profile for class get default profiles add to default profiles get u m l profile apply configuration remove profile register profile get search path directories refresh registered profiles look for registered profile 
org.argouml.uml.reveng.ImportSettings,import settings get input source encoding get import level detail classifier detail classifier feature detail full 
org.argouml.uml.diagram.static_structure.ui.FigModel,fig model construct figs 
org.argouml.uml.diagram.static_structure.ui.FigStereotypeDeclaration,fig stereotype declaration unhighlight construct figs get pop up actions make selection update listeners 
org.argouml.pattern.cognitive.critics.CrConsiderSingleton,cr consider singleton predicate2 serial version u i d 
org.argouml.uml.cognitive.critics.WizOperName,wiz oper name get num steps do action make panel undo action set possible constructor get options find namespace log possible constructor stereotype path chosen option0 option1 step1 step2 create stereotype added create stereotype serial version u i d 
org.argouml.uml.ui.UMLListCellRenderer2,u m l list cell renderer2 make text make type name get name get list cell renderer component show icon show path 
org.argouml.ui.explorer.ExplorerPerspective,explorer perspective make named clone get rules array add rule remove rule to string set name get list rules name 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelCallState,prop panel call state add extra buttons get call action entry scroll call action entry scroll call action entry list serial version u i d 
org.argouml.uml.ui.behavior.state_machines.UMLStateExitListModel,u m l state exit list model build model list is valid element 
org.argouml.ui.DisplayTextTree,display text tree format transition label format tagged value label get model element display name set show stereotype format extension point generate stereotype get expanded paths reexpand get notation settings set model convert value to text fire tree collapsed fire tree expanded log expanded paths in model reexpanding show stereotype serial version u i d 
org.argouml.uml.ui.foundation.core.UMLGeneralizableElementGeneralizationListModel,u m l generalizable element generalization list model build model list is valid element 
org.argouml.uml.ui.behavior.activity_graphs.ActionRemoveCISState,action remove c i s state action performed serial version u i d 
org.argouml.uml.ui.foundation.core.PropPanelUsage,prop panel usage serial version u i d 
org.argouml.uml.diagram.ui.ActionStereotypeViewSmallIcon,action stereotype view small icon 
org.argouml.util.logging.SimpleTimer,simple timer result access 1 access 0 to string mark mark points labels 
org.argouml.profile.UserDefinedProfile$FigNodeDescriptor,fig node descriptor access 4 access 1 access 3 access 5 access 6 access 0 access 7 is valid stereotype img src length this 0 
org.argouml.uml.generator.GeneratorHelper,generator helper make language make language make language make language generate generate 
org.argouml.uml.cognitive.critics.WizTooMany,wiz too many get num steps do action make panel can finish instructions step1 
org.argouml.uml.diagram.static_structure.ui.FigClassifierBox,fig classifier box build modifier pop up build show pop up get operations fig get attributes fig get default bounds update operations update compartment build add menu is operations visible set operations visible get operations bounds is attributes visible set attributes visible get attributes bounds rendering changed get pop up actions update listeners class name and bounds clone translate property change update layout operations fig compartment 
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions,cr no outgoing transitions get criticized design materials predicate2 is some subvertex of 
org.argouml.uml.ui.foundation.core.ActionSetFeatureOwnerScope,action set feature owner scope action performed 
org.argouml.uml.diagram.state.ui.StateDiagramPropPanelFactory,state diagram prop panel factory create prop panel create prop panel 
org.argouml.ui.explorer.ExplorerPopup$ActionCreateAssociation,action create association action performed meta type classifiers this 0 
org.argouml.uml.ui.behavior.common_behavior.PropPanelTerminateAction,prop panel terminate action 
org.argouml.uml.diagram.static_structure.ui.FigPackage,fig package access 1 access 3 access 0 is filled get fill color set line width update bounds get use trap rect create big port fig set standard bounds build show pop up create class diagram set fig poly get fig poly do stereotype do visibility is visibility visible set visibility visible is stereotype visible set stereotype visible access 2 set line color get closest point get pop up actions text edit started update stereotype text class name and bounds clone initialize get minimum size get line width get line color model changed log min height min width width height indent x text h tab height body background fig poly stereotype visible serial version u i d 
org.argouml.uml.ui.foundation.core.UMLClassifierPowertypeRangeListModel,u m l classifier powertype range list model build model list is valid element 
org.argouml.uml.cognitive.critics.CrDisambigStateName,cr disambig state name get criticized design materials predicate2 get clarifier serial version u i d 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelTaggedValue$UMLTaggedValueTypeComboBoxModel,u m l tagged value type combo box model get selected model element build model list is valid element 
org.argouml.uml.reveng.ui.ImportClasspathDialog,import classpath dialog access 4 access 1 access 3 access 5 access 0 access 2 update path list paths paths model add button remove button chooser setting 
org.argouml.uml.ui.InitUmlUI,init uml u i get project settings tabs get settings tabs get details tabs init 
org.argouml.uml.cognitive.critics.CrProfile,cr profile get localized string localization prefix serial version u i d 
org.argouml.uml.ui.ActionSaveProjectAs,action save project as action performed log serial version u i d 
org.argouml.uml.diagram.ui.ArgoFigGroup,argo fig group set owner get project set project get settings set settings rendering changed log settings 
org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction,prop panel call action initialize serial version u i d 
org.argouml.application.events.ArgoGeneratorEventListener,argo generator event listener generator changed generator added generator removed 
org.argouml.profile.internal.ocl.uml14.CollectionsModelInterpreter,collections model interpreter invoke feature get built in symbol clone collection do for all 
org.argouml.ui.explorer.rules.GoElementToMachine,go element to machine get dependencies get rule name get children 
org.argouml.uml.ui.ElementPropPanelFactory,element prop panel factory create prop panel create prop panel get action prop panel get relationship prop panel get state vertex prop panel get classifier prop panel 
org.argouml.ui.explorer.rules.GoClassifierToStructuralFeature,go classifier to structural feature get dependencies get rule name get children 
org.argouml.uml.ui.behavior.state_machines.UMLTransitionTriggerListModel,u m l transition trigger list model build popup has popup build model list is valid element 
org.argouml.uml.diagram.static_structure.ui.ClassDiagramPropPanelFactory,class diagram prop panel factory create prop panel create prop panel 
org.argouml.uml.ui.behavior.state_machines.UMLEventParameterListModel,u m l event parameter list model move down move to bottom move to top build model list is valid element 
org.argouml.uml.diagram.static_structure.ui.FigEdgeNote,fig edge note remove from diagram set owner get project set project get settings get tip string set settings set source fig node set dest fig node rendering changed set item u i d get item u i d set fig add element listener remove element listener to string get source property change get destination model changed log comment annotated element settings item uid 
org.argouml.uml.cognitive.critics.CrInvalidSynch,cr invalid synch get criticized design materials predicate2 
org.argouml.uml.reveng.ui.ImportStatusScreen,import status screen access 4 access 1 access 3 access 5 access 0 is complete set maximum progress update sub task notify null action update main task notify message is canceled progress access 2 close window activated window closed window closing window deactivated window deiconified window iconified window opened update progress cancel button progress label progress message area has messages canceled serial version u i d 
org.argouml.uml.ui.behavior.collaborations.UMLMessagePredecessorListModel,u m l message predecessor list model build model list is valid element 
org.argouml.gefext.ArgoModeCreateFigPoly,argo mode create fig poly create new item instructions 
org.argouml.notation.providers.java.OperationNotationJava,operation notation java get parsing help generate concurrency generate abstractness to string to string parse log 
org.argouml.uml.ui.foundation.core.UMLModelElementVisibilityRadioButtonPanel,u m l model element visibility radio button panel build model set enabled serial version u i d label texts and action commands 
org.argouml.uml.cognitive.critics.CrObjectWithoutComponent,cr object without component predicate2 to do item compute offenders still valid 
org.argouml.uml.ui.UMLTextArea2,u m l text area2 get targettable model property change serial version u i d 
org.argouml.ui.cmd.ShortcutMgr,shortcut mgr get shortcuts get duplicate assign accelerator assign accelerator decode key stroke save shortcuts put default shortcut put default shortcut get action default name decode modifier get shortcut action new project action open project action save project action save project as action print action select all action undo action redo action remove from diagram action delete model elements action zoom out action zoom in action find action generate all classes action align rights action align lefts action revert to saved action import xmi action export xmi action import from sources action project settings action page setup action save graphics action save all graphics action navigate forward action navigate back action select invert action perspective config action settings action notation action go to diagram action zoom reset action adjust grid action adjust guide action adjust page breaks action show xml dump action use case diagram action class diagram action sequence diagram action collaboration diagram action state diagram action activity diagram action deployment diagram action generate one action generate project code action generation settings action preferred size action auto critique action open decisions action open goals action open critics action help action system information action about argouml action align tops action align bottoms action align h centers action align v centers action align to grid action distribute h spacing action distribute h centers action distribute v spacing action distribute v centers action reorder forward action reorder backward action reorder to front action reorder to back log default mask shifted default mask shortcut hash duplicate  assertions disabled 
org.argouml.uml.ui.ActionGenerateAll,action generate all add collection is enabled action performed 
org.argouml.uml.diagram.ui.ArgoEditor,argo editor setup rendering hints paint mouse entered mouse moved argo rendering hints serial version u i d 
org.argouml.cognitive.ui.WizStepCue,wiz step cue instructions serial version u i d 
org.argouml.uml.ui.foundation.core.PropPanelOperation$1,1 get parent get family this 0 
org.argouml.profile.internal.ProfileUML$1,1 get default attribute type get default parameter type get default return type model this 0 
org.argouml.uml.ui.foundation.core.PropPanelOperation$2,2 get parent get family this 0 
org.argouml.ui.explorer.PerspectiveManagerListener,perspective manager listener add perspective remove perspective 
org.argouml.ui.explorer.ExplorerPopup$ActionCreateAssociationRole,action create association role action performed meta type classifier roles this 0 
org.argouml.util.ArgoDialog,argo dialog name button name buttons init set frame frame mnemonic key suffix 
org.argouml.uml.ui.behavior.common_behavior.PopupMenuNewAction,popup menu new action build menu 
org.argouml.ui.explorer.ActionDeployProfile,action deploy profile save profile action performed log undeployed profile 
org.argouml.uml.ui.foundation.core.UMLContainerResidentListModel,u m l container resident list model build model list is valid element 
org.argouml.uml.diagram.ui.FigStereotype,fig stereotype set line width initialize set text set text update layout  assertions disabled 
org.argouml.uml.ui.behavior.use_cases.UMLExtendExtensionListModel,u m l extend extension list model build model list is valid element 
org.argouml.ui.ActionCreateContainedModelElement,action create contained model element action performed meta type property 
org.argouml.uml.reveng.ImportInterface,import interface get suffix filters get import settings parse files is parseable source path tag source modifiers tag 
org.argouml.moduleloader.ModuleInterface,module interface get name disable enable get info description author version downloadsite 
org.argouml.uml.diagram.DiagramFactory$DiagramType,diagram type value of values class use case state deployment collaboration activity sequence enum values 
org.argouml.uml.ui.behavior.state_machines.PropPanelCallEvent,prop panel call event initialize 
org.argouml.persistence.PrivateHandler,private handler got element get pips split name val get item u i d start element container log 
org.argouml.uml.diagram.static_structure.ui.SelectionStereotype,selection stereotype get instructions is edge post process requested get icons get new node get new edge type get new node type is reverse edge create edge above mouse entered inherit icon depend icon use composite icons instructions 
org.argouml.uml.reveng.ui.ImportStatusScreen$6,6 run this 0 val action 
org.argouml.uml.reveng.ui.ImportStatusScreen$5,5 run this 0 val name 
org.argouml.uml.reveng.ui.ImportStatusScreen$4,4 run this 0 
org.argouml.uml.reveng.ui.ImportStatusScreen$3,3 run this 0 val i 
org.argouml.uml.ui.model_management.UMLClassifierPackageImportsListModel,u m l classifier package imports list model build model list is valid element property change 
org.argouml.util.CollectionUtil,collection util get first item get first item or null index of 
org.argouml.ui.explorer.PerspectiveConfigurator$NewPerspectiveListener,new perspective listener action performed this 0 
org.argouml.kernel.DefaultUndoManager$InteractionStack,interaction stack fire label pop pop push push get label label property added property removed property size property this 0 
org.argouml.uml.ui.ActionNavigateTransition,action navigate transition navigate to 
org.argouml.uml.ui.foundation.core.UMLCommentBodyDocument,u m l comment body document get property set property 
org.argouml.uml.cognitive.critics.CrUnconventionalOperName,cr unconventional oper name get criticized design materials predicate2 to do item get wizard class compute offenders compute suggestion candidate for constructor still valid init wizard 
org.argouml.uml.ui.foundation.extension_mechanisms.PropPanelStereotype$UMLStereotypeBaseClassListModel,u m l stereotype base class list model build model list is valid element this 0 
org.argouml.uml.reveng.ui.ImportStatusScreen$1,1 action performed this 0 
org.argouml.uml.diagram.static_structure.ui.PropPanelUMLClassDiagram,prop panel u m l class diagram 
org.argouml.uml.reveng.ui.ImportStatusScreen$2,2 run this 0 val i 
org.argouml.uml.cognitive.critics.CrInvalidBranch,cr invalid branch get criticized design materials predicate2 
org.argouml.uml.ui.ActionCut,action cut remove from diagram allowed is system clip board empty get instance action performed caret update instance localize key text source 
org.argouml.uml.ui.TabSrc$DefaultPredicate,default predicate evaluate 
org.argouml.ui.SwingWorker$TimerListener,timer listener action performed this 0 
org.argouml.notation.providers.uml.MessageNotationUml,message notation uml to string log 
org.argouml.application.events.ArgoHelpEvent,argo help event get help text get event start range help text 
org.argouml.uml.cognitive.critics.AbstractCrUnconventionalName,abstract cr unconventional name compute suggestion 
org.argouml.uml.diagram.layout.LayoutedEdge,layouted edge layout 
org.argouml.ui.TabTarget,tab target should be enabled get target set target refresh 
org.argouml.uml.ui.behavior.collaborations.UMLClassifierRoleBaseListModel,u m l classifier role base list model build model list is valid element 
org.argouml.ui.explorer.ExplorerEventAdaptor,explorer event adaptor access 1 access 0 set tree model u m l event listener structure changed model element changed model element added get instance property change model changed log instance tree model 
org.argouml.uml.diagram.ui.ActionSetAddCommentLinkMode,action set add comment link mode 
org.argouml.profile.init.ProfileLoader$JarFileFilter,jar file filter accept 
org.argouml.uml.diagram.ui.FigTextGroup,fig text group remove from diagram calc bounds add fig delete from model update fig texts contains mouse clicked mouse entered mouse exited mouse pressed mouse released hit supress calc bounds 
org.argouml.uml.ui.behavior.state_machines.PropPanelGuard,prop panel guard serial version u i d 
org.argouml.uml.ui.behavior.state_machines.PropPanelTimeEvent,prop panel time event initialize 
org.argouml.uml.ui.behavior.state_machines.PropPanelSynchState,prop panel synch state serial version u i d 
org.argouml.util.logging.AwtExceptionHandler,awt exception handler register exception handler handle log 
org.argouml.uml.diagram.ui.FigAbstraction,fig abstraction create end arrow 
org.argouml.ui.cmd.ShortcutField,shortcut field fire shortcut changed event add shortcut changed listener serial version u i d listener list 
org.argouml.cognitive.ui.ActionNewToDoItem,action new to do item action performed 
org.argouml.ui.explorer.ExplorerTreeModel$ExplorerUpdater,explorer updater schedule schedule run pending updates hot max updates per run this 0 
org.argouml.uml.diagram.deployment.ui.SelectionObject,selection object get instructions get icons get new node get new edge type get new node type is reverse edge link icon icons instructions 
org.argouml.uml.cognitive.critics.CrAssocNameConflict,cr assoc name conflict get criticized design materials predicate2 to do item compute offenders still valid get all types 
org.argouml.uml.ui.behavior.state_machines.UMLTransitionStatemachineListModel,u m l transition statemachine list model build model list is valid element 
org.argouml.kernel.NonUndoableCommand,non undoable command is undoable is redoable execute undo 
org.argouml.uml.ui.behavior.collaborations.PropPanelClassifierRole,prop panel classifier role get multiplicity combo box serial version u i d multiplicity combo box 
org.argouml.uml.ui.behavior.use_cases.UMLExtensionPointUseCaseListModel,u m l extension point use case list model build model list is valid element 
org.argouml.ui.ProjectBrowser,project browser access 1 access 0 target set target added target removed target changed get remove from diagram action try save with progress monitor show save indicator load project with progress monitor try save try save try save try save try save load project update status remove panel set to do item get save action get details pane ask confirmation and save add panel load project2 make instance determine remove enabled add keyboard focus listener save screen configuration assemble panels set application icon create details panes restore panel sizes make details pane get saved height get saved width get saved dimensions get editor pane get explorer pane is file readonly test simulate errors add file saved try exit get app name create panels set app name get status bar get tab get todo pane get new file clear dialogs build title with current project name get instance exit set target dispose get locale set visible report error report error report error property change get j menu bar get default font default componentwidth default componentheight log is main application the instance app name editor pane north east pane north pane north west pane east pane south east pane south pane details panes by compass point menu bar status bar default font work area pane explorer pane todo pane title handler save action remove from diagram serial version u i d  assertions disabled 
org.argouml.uml.ui.behavior.activity_graphs.UMLCISStateListModel,u m l c i s state list model build model list is valid element serial version u i d 
org.argouml.uml.ui.behavior.common_behavior.PropPanelCallAction$SetActionOperationAction,set action operation action action performed serial version u i d 
org.argouml.uml.ui.foundation.core.ActionNewClass,action new class action performed 
org.argouml.uml.ui.PropPanelFactory,prop panel factory create prop panel 
org.argouml.swingext.SpacerPanel,spacer panel get size get minimum size get preferred size w h 
org.argouml.ui.explorer.rules.GoModelElementToContainedLostElements,go model element to contained lost elements get dependencies get rule name get children 
org.argouml.uml.cognitive.critics.CrClassMustBeAbstract,cr class must be abstract get criticized design materials predicate2 serial version u i d 
org.argouml.uml.diagram.VisibilityContainer,visibility container is visibility visible set visibility visible 
org.argouml.uml.ui.behavior.use_cases.PropPanelExtensionPoint,prop panel extension point navigate up serial version u i d 
org.argouml.uml.ui.foundation.core.UMLOperationConcurrencyRadioButtonPanel,u m l operation concurrency radio button panel build model get commands label texts and action commands 
org.argouml.uml.diagram.static_structure.ui.FigPackage$PackageBackground,package background set line width set bounds impl get closest point indent x tab height this 0 
org.argouml.ui.MenuBar2,menu bar2 init menu create 
org.argouml.util.UIUtils$1,1 action performed serial version u i d val dialog 
org.argouml.cognitive.ui.GoListToGoalsToItems,go list to goals to items get goal list get child is leaf get child count add tree model listener get index of child remove tree model listener value for path changed 
org.argouml.uml.cognitive.critics.WizManyNames,wiz many names do action make panel set model elements log instructions mes step1 serial version u i d 
org.argouml.uml.ui.behavior.common_behavior.PropPanelComponentInstance,prop panel component instance serial version u i d 
org.argouml.uml.cognitive.critics.CrOppEndVsAttr,cr opp end vs attr get criticized design materials predicate2 serial version u i d 
org.argouml.uml.ui.behavior.activity_graphs.PropPanelObjectFlowState$ActionAddOFSParameter,action add o f s parameter get selected get choices do it get dialog title choice class 
org.argouml.uml.reveng.ImportCommon,import common get qualified name get file list set selected suffix filter get input source encoding is changed only selected is create diagrams selected is minimize figs selected is diagram layout selected get selected files set selected files get current module set current module layout diagrams is descend selected get import level init current diagram get current diagram is changed only is create diagrams is minimize figs is diagram layout do import internal print to buffer add figures to diagrams do import get modules set src path get src path get importer is descend skip tokens get languages get encoding set last modified set files max progress prepare max progress import max progress modules current module src path diagram interface selected files selected suffix filter 
org.argouml.ui.StylePanelFigRRect,style panel fig r rect set target rounding refresh insert update rounding label rounding field 
org.argouml.uml.diagram.ui.FigKeyword,fig keyword set line width initialize set text set text keyword text  assertions disabled 
org.argouml.uml.diagram.use_case.ui.SelectionUseCase,selection use case get instructions get icons get new node get new edge type get new node type is reverse edge inherit assoc icons instructions edge type 
org.argouml.uml.reveng.ui.ProblemsDialog,problems dialog access 0 dispose dialog action performed is aborted parent frame abort button continue button north label aborted serial version u i d 
org.argouml.uml.cognitive.critics.CrUnconventionalPackName,cr unconventional pack name get criticized design materials predicate2 get wizard class compute suggestion get clarifier init wizard 
org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel,u m l structural feature type combo box model is lazy add other model event listeners get selected model element build minimal model list build model list is valid element remove other model event listeners model changed 
org.argouml.uml.ui.behavior.state_machines.ActionNewSubmachineState,action new submachine state get instance action performed singleton 
org.argouml.cognitive.ui.ToDoPane,to do pane access 0 my double click to do items changed to do items added to do items removed to do list changed my single click update count label format count label build perspectives set perspectives get perspective list set cur perspective get cur perspective get selected object select item update tree swing invoke mouse clicked mouse entered mouse exited mouse pressed mouse released get root item state changed value changed set root log warn threshold alarm threshold warn color alarm color clicks in to do pane dbl clicks in to do pane to do perspectives changed tree combo perspectives cur perspective root count label last sel serial version u i d 
org.argouml.ui.StatusBar,status bar set maximum progress update sub task notify null action update main task notify message is canceled progress do fake progress show progress inc progress run close update progress show status msg progress status text 
org.argouml.uml.ui.foundation.core.ActionSetGeneralizationPowertype,action set generalization powertype get instance action performed singleton 
org.argouml.ui.cmd.ActionSelectAll,action select all 
org.argouml.uml.ui.foundation.core.PropPanelAttribute$UMLInitialValueExpressionModel,u m l initial value expression model get expression set expression new expression this 0 
org.argouml.gefext.ArgoFigRect,argo fig rect get notification info add notification listener remove notification listener remove notification listener delete from model notifier 
org.argouml.uml.ui.behavior.common_behavior.ActionNewAction,action new action create action action performed get action role 
org.argouml.ui.cmd.ActionNew,action new action performed serial version u i d 
