Id	Modularity Class
org.argouml.uml.diagram.ui.FigOperationsCompartment	21
org.argouml.uml.diagram.ui.FigStereotype	21
org.argouml.uml.diagram.static_structure.ui.FigSignal	21
org.argouml.uml.diagram.ui.FeaturesCompartmentContainer	21
org.argouml.uml.diagram.ui.FigAbstraction	21
org.argouml.uml.diagram.ExtensionPointsCompartmentContainer	21
org.argouml.uml.diagram.ui.FigEmptyRect	21
org.argouml.uml.diagram.use_case.ui.FigExtensionPoint	21
org.argouml.kernel.ProjectImpl	22
org.argouml.kernel.ProjectManager	22
org.argouml.kernel.Project	22
org.argouml.uml.cognitive.critics.WizCueCards	23
org.argouml.util.logging.SimpleTimer	23
org.argouml.ui.Clarifier	23
org.argouml.uml.diagram.activity.ui.FigPool	24
org.argouml.uml.diagram.activity.ui.FigActionState	24
org.argouml.uml.diagram.activity.ui.FigPartition	24
org.argouml.uml.diagram.activity.ui.FigObjectFlowState	24
org.argouml.uml.diagram.state.ui.FigConcurrentRegion	24
org.argouml.uml.diagram.activity.ui.FigCallState	24
org.argouml.uml.diagram.activity.ui.FigSubactivityState	24
org.argouml.uml.diagram.ui.FigNodeAssociation	24
org.argouml.uml.diagram.state.ui.FigStubState	24
org.argouml.uml.diagram.state.ui.FigSubmachineState	24
org.argouml.uml.diagram.state.ui.FigSynchState	24
org.argouml.uml.diagram.static_structure.layout.ClassdiagramNoteEdge	24
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel	24
org.argouml.uml.diagram.activity.ui.SelectionCallState	24
org.argouml.uml.diagram.ui.PathConvPercent2	24
org.argouml.uml.diagram.deployment.ui.FigComponent	25
org.argouml.uml.diagram.deployment.ui.FigMNode	25
org.argouml.uml.diagram.deployment.ui.FigComponentInstance	26
org.argouml.uml.diagram.deployment.ui.FigNodeInstance	26
org.argouml.ui.explorer.rules.GoPackageToElementImport	27
org.argouml.model.euml.OrderingKindEUMLImpl	27
org.argouml.model.euml.MetaTypesEUMLImpl	28
org.argouml.model.euml.CoreFactoryEUMLImpl	28
org.argouml.model.euml.CoreHelperEUMLImpl	28
org.argouml.model.euml.DataTypesHelperEUMLImpl	28
org.argouml.model.euml.EUMLModelImplementation	28
org.argouml.model.euml.ExtensionMechanismsHelperEUMLImpl	28
org.argouml.model.euml.FacadeEUMLImpl	28
org.argouml.model.euml.ModelEventPumpEUMLImpl	28
org.argouml.model.euml.ModelManagementFactoryEUMLImpl	28
org.argouml.model.euml.ModelManagementHelperEUMLImpl	28
org.argouml.model.euml.UmlFactoryEUMLImpl	28
org.argouml.model.euml.XmiReaderEUMLImpl	28
org.argouml.model.euml.ExtensionMechanismsFactoryEUMLImpl	28
org.argouml.kernel.UmlModelMutator	29
org.argouml.ui.HeapMonitor	29
org.argouml.model.euml.ChangeableKindEUMLImpl	30
org.argouml.model.euml.CopyHelperEUMLImpl	30
org.argouml.model.euml.DataTypesFactoryEUMLImpl	30
org.argouml.model.euml.UseCasesFactoryEUMLImpl	30
org.argouml.model.euml.UseCasesHelperEUMLImpl	30
org.argouml.model.euml.XmiWriterEUMLImpl	30
org.argouml.model.euml.CollaborationsFactoryEUMLImpl	30
org.argouml.model.euml.CollaborationsHelperEUMLImpl	30
org.argouml.model.euml.UmlHelperEUMLImpl	30
org.argouml.model.euml.CommonBehaviorHelperEUMLImpl	30
org.argouml.model.euml.StateMachinesFactoryEUMLImpl	30
org.argouml.state2.diagram.StateDiagramFactory	30
org.argouml.state2.diagram.StateDiagramGraphModel	30
org.argouml.state2.diagram.UMLStateDiagram	30
org.argouml.state2.StateDiagramModule	30
org.argouml.state2.StateDiagramPropPanelFactory	30
org.argouml.model.euml.CommonBehaviorFactoryEUMLImpl	30
org.argouml.model.euml.ActivityGraphsFactoryEUMLlImpl	30
org.argouml.model.euml.ActivityGraphsHelperEUMLImpl	30
org.argouml.model.euml.AggregationKindEUMLImpl	30
org.argouml.model.euml.ConcurrencyKindEUMLImpl	30
org.argouml.model.euml.DirectionKindEUMLImpl	30
org.argouml.model.euml.NotYetImplementedException	30
org.argouml.model.euml.PseudostateKindEUMLImpl	30
org.argouml.model.euml.ScopeKindEUMLImpl	30
org.argouml.model.euml.StateMachinesHelperEUMLImpl	30
org.argouml.model.euml.VisibilityKindEUMLImpl	30
org.argouml.swingext.GlassPane	31
org.argouml.uml.diagram.ui.FigKeyword	31
org.argouml.model.euml.ChangeCommand	32
org.argouml.model.euml.CommandStackImpl	32
org.argouml.model.euml.RootContainerAdapter	32
org.argouml.model.euml.RunnableClass	32
org.argouml.model.euml.UMLUtil	32
org.argouml.i18n.Translator	33
org.argouml.ui.ActionExportXMI	33
org.argouml.uml.ui.ActionCopy	34
org.argouml.uml.ui.ActionCut	34
org.argouml.uml.ui.ActionPaste	34
org.argouml.util.osdep.OsUtil	35
org.argouml.util.osdep.OSXAdapter	35
org.argouml.uml.diagram.collaboration.ui.FigClassifierRole	36
org.argouml.uml.diagram.deployment.ui.FigObject	36
org.argouml.ui.StylePanelFig	37
org.argouml.uml.diagram.static_structure.ui.StylePanelFigClass	37
org.argouml.uml.diagram.static_structure.ui.StylePanelFigInterface	37
org.argouml.uml.diagram.StereotypeContainer	37
org.argouml.ui.StylePanelFigNodeModelElement	37
org.argouml.uml.diagram.static_structure.ui.StylePanelFigPackage	37
org.argouml.uml.diagram.use_case.ui.StylePanelFigUseCase	37
org.argouml.ui.StylePanelFigText	37
org.argouml.uml.diagram.PathContainer	37
org.argouml.uml.diagram.VisibilityContainer	37
org.argouml.ui.StylePanelFigRRect	37
