632	thn
633	bobtarling
634	tfmorris
635	mvw
636	bobtarling	tfmorris
637	bobtarling	mvw
638	linus
639	mvw	linus
640	bobtarling	linus
org.argouml.profile.URLModelLoader	632
org.argouml.uml.ui.ActionGenerateAll	632
org.argouml.uml.StereotypeUtility	632
org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent	633
org.argouml.uml.diagram.static_structure.ui.FigSignal	633
org.argouml.ui.ProjectBrowser	633
org.argouml.uml.diagram.ui.FigAssociationClass	633
org.argouml.util.JavaRuntimeUtility	633
org.argouml.uml.diagram.static_structure.ui.FigAttribute	633
org.argouml.notation.providers.StateBodyNotation	633
org.argouml.uml.diagram.state.ui.FigTransition	633
org.argouml.uml.diagram.use_case.ui.UMLUseCaseDiagram	633
org.argouml.uml.diagram.ui.SelectionRerouteEdge	633
org.argouml.uml.diagram.static_structure.ui.FigStereotypeDeclaration	633
org.argouml.uml.diagram.UMLMutableGraphSupport	633
org.argouml.uml.diagram.activity.ui.UMLActivityDiagram	633
org.argouml.uml.ui.UMLListCellRenderer2	633
org.argouml.uml.diagram.collaboration.ui.ActionAddClassifierRole	633
org.argouml.uml.diagram.ui.UMLDiagram	633
org.argouml.uml.diagram.state.ui.FigSubmachineState	633
org.argouml.ui.DisplayTextTree	633
org.argouml.uml.diagram.ui.TabDiagram	633
org.argouml.uml.diagram.ui.ActionAddExistingNodes	633
org.argouml.uml.diagram.static_structure.ui.SelectionGeneralizableElement	633
org.argouml.notation.providers.AssociationRoleNotation	633
org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram	633
org.argouml.uml.diagram.state.ui.FigInitialState	633
org.argouml.uml.ui.UMLComboBox2	633
org.argouml.uml.diagram.collaboration.ui.CollabDiagramRenderer	633
org.argouml.uml.reveng.DiagramInterface	633
org.argouml.uml.diagram.ui.FigNameWithAbstract	633
org.argouml.ui.FindDialog	633
org.argouml.uml.diagram.static_structure.ui.SelectionCompartmentText	633
org.argouml.uml.diagram.static_structure.ui.FigDataType	633
org.argouml.uml.diagram.static_structure.ui.StylePanelFigInterface	633
org.argouml.uml.ui.foundation.core.ActionAddSupplierDependencyAction	633
org.argouml.uml.ui.UMLSearchableComboBox	633
org.argouml.uml.diagram.ui.FigEdgeModelElement	633
org.argouml.uml.diagram.use_case.ui.FigActor	633
org.argouml.notation.providers.uml.StateBodyNotationUml	633
org.argouml.ui.explorer.NameOrder	633
org.argouml.uml.ui.SaveGraphicsManager	633
org.argouml.uml.diagram.static_structure.ui.FigInterface	633
org.argouml.uml.diagram.state.ui.FigFinalState	633
org.argouml.notation.providers.ObjectNotation	633
org.argouml.ui.ProjectSettingsTabProperties	633
org.argouml.uml.diagram.state.ui.UMLStateDiagram	633
org.argouml.uml.diagram.deployment.ui.FigObject	633
org.argouml.uml.diagram.state.ui.SelectionVertex	633
org.argouml.uml.diagram.ui.SelectionClassifierBox	633
org.argouml.uml.diagram.static_structure.ui.SelectionClass	633
org.argouml.uml.diagram.collaboration.CollabDiagramGraphModel	633
org.argouml.uml.diagram.ui.SelectionNodeClarifiers2	633
org.argouml.uml.ui.foundation.core.ActionAddClientDependencyAction	633
org.argouml.ui.explorer.PerspectiveManager	633
org.argouml.uml.cognitive.checklist.Init	633
org.argouml.uml.diagram.deployment.ui.DeploymentDiagramRenderer	633
org.argouml.application.helpers.ResourceLoaderWrapper	633
org.argouml.uml.diagram.state.ui.FigStateVertex	633
org.argouml.uml.diagram.ui.DnDJGraph	633
org.argouml.ui.HeapMonitor	634
org.argouml.uml.diagram.static_structure.ui.FigLink	635
org.argouml.notation.providers.EnumerationLiteralNotation	635
org.argouml.persistence.ModelMemberFilePersister	635
org.argouml.notation.providers.uml.AttributeNotationUml	635
org.argouml.notation.providers.AssociationNameNotation	635
org.argouml.uml.diagram.ui.FigEnumLiteralsCompartment	635
org.argouml.ui.CmdCreateNode	635
org.argouml.notation.providers.uml.OperationNotationUml	635
org.argouml.notation.providers.uml.NotationUtilityUml	635
org.argouml.uml.diagram.static_structure.ui.UMLClassDiagram	636
org.argouml.uml.ui.behavior.state_machines.UMLSynchStateBoundDocument	636
org.argouml.uml.ui.behavior.state_machines.ActionNewSubmachineState	636
org.argouml.uml.ui.behavior.state_machines.ActionNewStubState	636
org.argouml.uml.ui.behavior.state_machines.ActionNewSimpleState	636
org.argouml.uml.ui.behavior.state_machines.ActionNewTransition	636
org.argouml.uml.ui.behavior.state_machines.ActionNewSynchState	636
org.argouml.ui.explorer.ExplorerPopup	636
org.argouml.uml.ui.behavior.state_machines.ActionNewCompositeState	636
org.argouml.uml.ui.behavior.state_machines.ActionNewGuard	636
org.argouml.uml.ui.behavior.state_machines.ActionNewPseudoState	636
org.argouml.uml.ui.behavior.state_machines.ActionNewFinalState	636
org.argouml.uml.diagram.static_structure.ui.FigEnumeration	637
org.argouml.notation.providers.AttributeNotation	637
org.argouml.notation.providers.AssociationEndNameNotation	637
org.argouml.notation.providers.uml.AssociationEndNameNotationUml	637
org.argouml.uml.diagram.state.StateDiagramGraphModel	637
org.argouml.uml.diagram.static_structure.ui.FigClassifierBox	637
org.argouml.ui.AboutBox	638
org.argouml.ui.explorer.rules.GoModelElementToTemplateParameter	638
org.argouml.uml.ui.foundation.core.ActionAddDataType	638
org.argouml.uml.cognitive.critics.CrMultipleShallowHistoryStates	638
org.argouml.ui.ContextActionFactoryManager	638
org.argouml.uml.cognitive.critics.CrNoGuard	638
org.argouml.uml.cognitive.critics.CrInvalidFork	638
org.argouml.uml.ui.behavior.common_behavior.ActionNewTerminateAction	638
org.argouml.cognitive.ui.ToDoTreeRenderer	638
org.argouml.uml.cognitive.critics.CrIllegalName	638
org.argouml.cognitive.Critic	638
org.argouml.uml.cognitive.critics.CrInvalidInitial	638
org.argouml.application.SubsystemUtility	638
org.argouml.uml.cognitive.critics.CrTooManyStates	638
org.argouml.uml.cognitive.critics.CrNoAssociations	638
org.argouml.notation.NotationRenderer	638
org.argouml.uml.ui.behavior.common_behavior.ActionNewSendAction	638
org.argouml.uml.cognitive.critics.WizTooMany	638
org.argouml.uml.diagram.ui.FigAttributesCompartment	638
org.argouml.profile.internal.ocl.uml14.OclAPIModelInterpreter	638
org.argouml.uml.ui.behavior.common_behavior.ActionNewReturnAction	638
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions	638
org.argouml.uml.cognitive.critics.CrNavFromInterface	638
org.argouml.cognitive.ui.GoListToOffenderToItem	638
org.argouml.uml.cognitive.critics.CrDisambigStateName	638
org.argouml.uml.cognitive.critics.CrCircularAssocClass	638
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewStereotype	638
org.argouml.uml.cognitive.critics.CrClassWithoutComponent	638
org.argouml.uml.cognitive.critics.CrIllegalGeneralization	638
org.argouml.uml.cognitive.critics.CrMergeClasses	638
org.argouml.uml.ui.ActionStateDiagram	638
org.argouml.uml.cognitive.critics.CrNodesOverlap	638
org.argouml.ui.explorer.rules.GoClassToSummary	638
org.argouml.uml.ui.TabProps	638
org.argouml.uml.cognitive.critics.CrCompInstanceWithoutNode	638
org.argouml.uml.ui.behavior.common_behavior.ActionNewUninterpretedAction	638
org.argouml.kernel.UmlModelMutator	638
org.argouml.uml.cognitive.critics.CrInvalidJoin	638
org.argouml.uml.cognitive.critics.CrInvalidSynch	638
org.argouml.uml.cognitive.critics.CrObjectWithoutComponent	638
org.argouml.notation.providers.java.OperationNotationJava	638
org.argouml.ui.HelpBox	638
org.argouml.uml.cognitive.critics.CrConflictingComposites	638
org.argouml.gefext.ArgoModeCreateFigLine	638
org.argouml.application.Main	638
org.argouml.uml.cognitive.critics.CrNWayAgg	638
org.argouml.uml.cognitive.critics.CrInterfaceOperOnly	638
org.argouml.cognitive.ui.ToDoByGoal	638
org.argouml.uml.cognitive.critics.CrUnnavigableAssoc	638
org.argouml.uml.cognitive.critics.CrMissingAttrName	638
org.argouml.uml.cognitive.critics.CrUnconventionalClassName	638
org.argouml.uml.diagram.ui.SettingsTabDiagramAppearance	638
org.argouml.uml.ui.foundation.core.ActionAddEnumeration	638
org.argouml.uml.ui.behavior.activity_graphs.ActionAddEventAsTrigger	638
org.argouml.uml.diagram.state.ui.FigConcurrentRegion	638
org.argouml.ui.explorer.rules.GoCriticsToCritic	638
org.argouml.uml.cognitive.critics.CrMultipleDeepHistoryStates	638
org.argouml.uml.cognitive.critics.CrInvalidForkTriggerOrGuard	638
org.argouml.kernel.ActionList	638
org.argouml.notation.providers.uml.ModelElementNameNotationUml	638
org.argouml.kernel.DefaultUndoManager	638
org.argouml.ui.ActionCreateContainedModelElement	638
org.argouml.ui.SystemInfoDialog	638
org.argouml.uml.cognitive.critics.CrInterfaceWithoutComponent	638
org.argouml.uml.cognitive.critics.CrInterfaceAllPublic	638
org.argouml.util.CustomSeparator	638
org.argouml.uml.UUIDHelper	638
org.argouml.uml.diagram.ExtensionPointsCompartmentContainer	638
org.argouml.uml.cognitive.critics.CrCrossNamespaceAssoc	638
org.argouml.uml.diagram.ui.FigOperationsCompartment	638
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	638
org.argouml.uml.cognitive.critics.CrInvalidHistory	638
org.argouml.uml.cognitive.critics.CrNonAggDataType	638
org.argouml.uml.cognitive.critics.CrUnconventionalOperName	638
