641	thn
org.argouml.persistence.ProfileConfigurationFilePersister	647
org.argouml.uml.ui.ActionSaveProject	647
org.argouml.uml.ui.ActionClassDiagram	647
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementRoot	647
org.argouml.uml.diagram.ArgoDiagramImpl	647
org.argouml.profile.init.ProfileLoader	647
org.argouml.profile.internal.ocl.ComputeDesignMaterials	647
org.argouml.uml.diagram.deployment.ui.UMLDeploymentDiagram	647
org.argouml.uml.diagram.ProjectMemberDiagram	647
org.argouml.uml.diagram.ui.ActionAddExistingNode	647
org.argouml.ui.HeapMonitor	647
org.argouml.uml.diagram.ui.FigEdgeAssociationClass	647
org.argouml.uml.ui.ActionNewDiagram	647
org.argouml.notation.providers.uml.MessageNotationUml	647
org.argouml.uml.diagram.static_structure.ui.FigDataType	647
org.argouml.uml.diagram.ui.ActionSaveDiagramToClipboard	647
org.argouml.uml.diagram.ui.FigEdgeModelElement	647
org.argouml.ui.targetmanager.TargetManager	647
org.argouml.uml.diagram.layout.Layouter	647
org.argouml.uml.diagram.ui.ActionAddNote	647
org.argouml.uml.ui.PropPanel	647
org.argouml.uml.diagram.ui.FigAssociation	647
org.argouml.uml.cognitive.critics.UMLWizard	647
org.argouml.ui.explorer.ExplorerEventAdaptor	647
org.argouml.application.api.Argo	647
org.argouml.cognitive.checklist.CheckManager	647
org.argouml.uml.util.namespace.StringNamespace	647
org.argouml.uml.generator.TempFileUtils	647
org.argouml.ocl.ArgoFacade	647
org.argouml.uml.diagram.static_structure.ui.ClassDiagramRenderer	647
org.argouml.uml.diagram.state.ui.UMLStateDiagram	647
org.argouml.uml.diagram.ui.ModeAddToDiagram	647
org.argouml.util.logging.AwtExceptionHandler	647
org.argouml.uml.ui.ActionDeploymentDiagram	647
org.argouml.cognitive.ui.DismissToDoItemDialog	647
org.argouml.uml.diagram.static_structure.ui.SelectionClass	647
org.argouml.uml.diagram.state.StateDiagramGraphModel	647
org.argouml.uml.ui.TabStyle	647
org.argouml.i18n.Translator	647
org.argouml.uml.ui.foundation.core.ActionSetBehavioralFeatureQuery	647
org.argouml.application.helpers.ResourceLoaderWrapper	647
org.argouml.ui.DetailsPane	647
org.argouml.uml.diagram.static_structure.layout.ClassdiagramInheritanceEdge	647
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndTargetScope	647
org.argouml.util.Tools	647
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementLeaf	647
org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction	647
org.argouml.persistence.XMLTokenTableBase	647
org.argouml.util.osdep.StartBrowser	647
org.argouml.uml.ui.ActionGenerateOne	647
org.argouml.util.JavaRuntimeUtility	647
org.argouml.profile.UserDefinedProfile	647
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndOrdering	647
org.argouml.uml.ui.behavior.state_machines.ButtonActionNewGuard	647
org.argouml.cognitive.ToDoList	647
org.argouml.uml.diagram.ui.FigStereotypesGroup	647
org.argouml.uml.cognitive.critics.CrMultipleInitialStates	647
org.argouml.uml.diagram.ui.FigCompartmentBox	647
org.argouml.ui.MenuBar2	647
org.argouml.ui.cmd.ActionGotoDiagram	647
org.argouml.uml.reveng.ImporterManager	647
org.argouml.cognitive.ResolvedCritic	647
org.argouml.uml.cognitive.critics.WizManyNames	647
org.argouml.uml.ui.TabTaggedValuesModel	647
org.argouml.uml.diagram.ui.ActionAddMessage	647
org.argouml.uml.diagram.ui.UMLDiagram	647
org.argouml.uml.diagram.ui.ActionAggregation	647
org.argouml.cognitive.checklist.ui.TabChecklist	647
org.argouml.uml.cognitive.critics.WizBreakCircularComp	647
org.argouml.ui.explorer.ActionExportProfileXMI	647
org.argouml.uml.diagram.ui.ActionAddExistingNodes	647
org.argouml.uml.diagram.DiagramUtils	647
org.argouml.uml.diagram.static_structure.ui.SelectionGeneralizableElement	647
org.argouml.cognitive.Agency	647
org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewTagDefinition	647
org.argouml.ui.explorer.PerspectiveConfigurator	647
org.argouml.uml.ui.foundation.core.ActionSetParameterDirectionKind	647
org.argouml.uml.ui.ActionSaveAllGraphics	647
org.argouml.ui.TabResults	647
org.argouml.cognitive.ui.WizDescription	647
org.argouml.profile.ReaderModelLoader	647
org.argouml.uml.ui.ActionAddPackage	647
org.argouml.cognitive.ui.ToDoPane	647
org.argouml.ui.explorer.DnDExplorerTree	647
org.argouml.profile.StreamModelLoader	647
org.argouml.ui.cmd.GenericArgoMenuBar	647
org.argouml.uml.ui.foundation.core.ActionAddOperation	647
org.argouml.ui.MenuBar14	647
org.argouml.ui.cmd.CmdSetPreferredSize	647
org.argouml.profile.internal.ocl.uml14.ModelAccessModelInterpreter	647
org.argouml.notation.NotationProvider	647
org.argouml.uml.ui.UMLRadioButtonPanel	647
org.argouml.uml.diagram.collaboration.ui.UMLCollaborationDiagram	647
org.argouml.cognitive.critics.ui.CriticBrowserDialog	647
org.argouml.uml.generator.AbstractSection	647
org.argouml.persistence.ArgoParser	647
org.argouml.uml.ui.UMLTimeExpressionModel	647
org.argouml.cognitive.ui.ToDoPerspective	647
org.argouml.persistence.TodoParser	647
org.argouml.util.ArgoFrame	647
org.argouml.uml.ui.UMLPlainTextDocument	647
org.argouml.ui.explorer.PerspectiveManager	647
org.argouml.language.ui.LanguageComboBox	647
org.argouml.cognitive.critics.ui.TableModelCritics	647
org.argouml.uml.diagram.ui.AbstractActionRadioMenuItem	647
org.argouml.ui.TabText	647
org.argouml.ui.ActionCreateEdgeModelElement	647
org.argouml.uml.ui.UMLRecurrenceExpressionModel	647
org.argouml.uml.ui.ActionAddDiagram	647
org.argouml.uml.diagram.ui.DnDJGraph	647
org.argouml.uml.reveng.ImportClassLoader	647
org.argouml.uml.diagram.ui.ModeLabelDrag	647
org.argouml.uml.diagram.deployment.DeploymentDiagramGraphModel	647
org.argouml.persistence.ModelMemberFilePersister	647
org.argouml.uml.diagram.state.ui.ButtonActionNewEvent	647
org.argouml.persistence.XmlInputStream	647
org.argouml.uml.diagram.ui.ActionAddExtensionPoint	647
org.argouml.uml.ui.LabelledLayout	647
org.argouml.uml.ui.TabTaggedValues	647
org.argouml.notation.providers.uml.AbstractMessageNotationUml	647
org.argouml.profile.internal.DependencyResolver	647
org.argouml.uml.cognitive.critics.CrUML	647
org.argouml.profile.ProfileFacade	647
org.argouml.uml.ui.behavior.state_machines.UMLSynchStateBoundDocument	647
org.argouml.ui.ZoomSliderButton	647
org.argouml.util.osdep.OSXAdapter	647
org.argouml.ui.MultiEditorPane	647
org.argouml.application.api.AbstractArgoJPanel	647
org.argouml.configuration.ConfigurationFactory	647
org.argouml.gefext.DeferredBufferedImage	647
org.argouml.notation.Notation	647
org.argouml.uml.diagram.UMLMutableGraphSupport	647
org.argouml.uml.ui.AbstractActionAddModelElement2	647
org.argouml.uml.diagram.static_structure.layout.ClassdiagramModelElementFactory	647
org.argouml.profile.ResourceModelLoader	647
org.argouml.uml.ui.UMLComboBoxModel2	647
org.argouml.ui.explorer.rules.GoStateMachineToState	647
org.argouml.cognitive.ui.ToDoByPoster	647
org.argouml.ui.StylePanel	647
org.argouml.configuration.ConfigurationHandler	647
org.argouml.uml.ui.foundation.core.ActionSetAssociationEndNavigable	647
org.argouml.uml.ui.UMLModelElementListModel2	647
org.argouml.kernel.ProfileConfiguration	647
org.argouml.uml.diagram.state.ui.StateDiagramRenderer	647
org.argouml.kernel.MemberList	647
org.argouml.uml.diagram.state.ui.ButtonActionNewEffect	647
org.argouml.persistence.SAXParserBase	647
org.argouml.ui.cmd.LastRecentlyUsedMenuList	647
org.argouml.uml.diagram.ui.ActionAddExistingEdge	647
org.argouml.notation.ui.NotationComboBox	647
